JC240,JC241,JC258,JC267,JC274,JC283
46.15,34.62,19.23,26.67,16.67,14.29
52.63,44.74,28.57,23.08,30,30
46,44,46.67,54,32.69,36
61.43,51.43,46,,50,48.57
71.43,57.14,50,,50,50
72.86,80,51.43,,58.57,45.71
84.29,82.86,57.14,,70,51.43
82.86,90,77.14,,64.29,50
33.93,84,80,,77.14,54.29
55.07,94,77.14,,84.29,68.57
66.67,88,42.86,,88.57,77.14
73.91,90,47.14,,54.29,71.43
63.77,90,33.33,,,77.14
68.12,63.33,38,,,53.33
82.61,59.09,,,,
79.71,,,,,
