,JC240,JC241,JC258,JC267,JC274
1,46.15%,34.62%,19.23%,26.67%,16.67%
2,52.63%,44.74%,28.57%,23.08%,30%
3,46%,44%,46.67%,54%,32.69%
4,61.43%,51.43%,46%,,50%
5,71.43%,57.14%,50%,,50%
6,72.86%,80%,51.43%,,58.57%
7,84.29%,82.86%,57.14%,,
8,82.86%,90%,77.14%,,
9,33.93%,84%,80%,,
10,55.07%,94%,77.14%,,
11,66.67%,88%,42.86%,,
12,73.91%,90%,47.14%,,
13,63.77%,90%,33.33%,,
14,68.12%,63.33%,38%,,
15,82.61%,59.09%,,,
16,79.71%,,,,
